uni_type,fitness_open,student_groups_open,cancel_events_over_size,cancel_sports,hybrid_classes,age_test_boost,student_facing_test_boost,pre_existing_condition_test_boost,deprioritize_antibody,central_tracking,ct_compliance,traced_compliance,quarantine_compliance,test_compliance,social_distancing,ct_history,ct_compliance_min,traced_compliance_min,quarantine_compliance_min,test_compliance_min,social_distancing_min,ct_compliance_max,traced_compliance_max,quarantine_compliance_max,test_compliance_max,social_distancing_max,all_events_canceled,no_events_canceled
SMALL,YES,NO,35,YES,NO,YES,NO,NO,NO,NO,HIGH,LOW,HIGH,HIGH,LOW,7,0.7,0.5,0.7,0.7,0,0.95,0.75,0.95,0.95,1,NO,NO
SMALL,YES,NO,110,YES,NO,YES,YES,NO,NO,NO,LOW,HIGH,LOW,HIGH,HIGH,14,0.5,0.7,0.5,0.7,0.5,0.75,0.95,0.75,0.95,1,NO,YES
SMALL,NO,YES,110,YES,NO,NO,NO,NO,YES,NO,LOW,HIGH,HIGH,HIGH,HIGH,14,0.5,0.7,0.7,0.7,0.5,0.75,0.95,0.95,0.95,1,NO,YES
SMALL,YES,YES,10,NO,NO,YES,NO,YES,NO,NO,LOW,LOW,HIGH,LOW,HIGH,14,0.5,0.5,0.7,0.5,0.5,0.75,0.75,0.95,0.75,1,YES,NO
SMALL,NO,NO,110,YES,YES,NO,YES,YES,NO,NO,LOW,HIGH,LOW,LOW,HIGH,14,0.5,0.7,0.5,0.5,0.5,0.75,0.95,0.75,0.75,1,NO,YES
SMALL,NO,NO,85,YES,NO,YES,YES,YES,YES,NO,HIGH,HIGH,LOW,HIGH,LOW,14,0.7,0.7,0.5,0.7,0,0.95,0.95,0.75,0.95,1,NO,NO
SMALL,NO,YES,60,NO,NO,NO,YES,NO,YES,YES,LOW,HIGH,LOW,HIGH,HIGH,7,0.5,0.7,0.5,0.7,0.5,0.75,0.95,0.75,0.95,1,NO,NO
SMALL,NO,NO,35,YES,YES,YES,NO,NO,YES,NO,LOW,LOW,HIGH,LOW,HIGH,7,0.5,0.5,0.7,0.5,0.5,0.75,0.75,0.95,0.75,1,NO,NO
SMALL,NO,YES,85,NO,NO,NO,YES,YES,YES,NO,LOW,LOW,LOW,HIGH,LOW,7,0.5,0.5,0.5,0.7,0,0.75,0.75,0.75,0.95,1,NO,NO
SMALL,NO,YES,85,YES,YES,NO,NO,NO,NO,YES,HIGH,HIGH,LOW,HIGH,HIGH,7,0.7,0.7,0.5,0.7,0.5,0.95,0.95,0.75,0.95,1,NO,NO
